target,model,fp,seed,split,rmse,mae,r2,spearman,ece,cov90,seconds
Tg,DropoutMLP,MACCS,0,train,40.225166055443765,29.475129542425595,0.8723801590911167,0.13756364854524447,0.32497013142174436,0.3704474505723205,174.0
Tg,DropoutMLP,MACCS,1,test,42.94927760323531,30.48584074437763,0.8514328306668694,0.1889317794602016,0.3015873015873016,0.3932038834951456,65.6
Tg,DropoutMLP,MACCS,1,train,34.36904507171849,24.748775272236866,0.9068340023377215,0.13191449115858447,0.2597988206729102,0.4836975372875477,65.6
Tg,DropoutMLP,MACCS,2,test,41.82844421009834,30.128979272612586,0.8590858696414896,0.15284582815895348,0.29419016797657577,0.4070735090152566,62.2
Tg,DropoutMLP,MACCS,2,train,34.9331358244071,25.173691225483772,0.9037506838303454,0.15340360824565033,0.26419239218406754,0.48300381546999654,62.2
Tg,DropoutMLP,MACCS,3,test,42.13671008809752,30.17723609138296,0.8570012075577413,0.19056766133027897,0.2861766065649561,0.4306518723994452,67.7
Tg,DropoutMLP,MACCS,3,train,31.65465819040426,22.703852772634324,0.9209689477483062,0.1286346548916921,0.2169422283886384,0.5534165799514394,67.7
Tg,DropoutMLP,MACCS,4,test,42.38129923860213,29.858012423261528,0.8553362714581008,0.1748775420308808,0.28779472954230234,0.4292649098474341,65.2
Tg,DropoutMLP,MACCS,4,train,32.829881966229834,23.605940564641557,0.9149917354147213,0.14924093811214423,0.24156935291170464,0.5152618799861256,65.2
Tg,torch-GNN,graph,0,test,37.96274823952733,26.463313790592835,0.8839282823171728,,,0.0,11424.0
Tg,torch-GNN,graph,0,train,29.748517080139017,21.340524790025277,0.9302003650943812,,,0.0,11424.0
Tg,torch-GNN,graph,1,test,38.76136010422537,26.62825148248144,0.8789933780769029,,,0.0,152.7
Tg,torch-GNN,graph,1,train,30.113162015010857,21.157627621884256,0.9284787280948137,,,0.0,152.7
Tg,torch-GNN,graph,2,test,38.04320138677608,26.1610025512147,0.8834357874039317,,,0.0,110.1
Tg,torch-GNN,graph,2,train,29.89482800302381,20.978147210472788,0.9295120912749516,,,0.0,110.1
Tg,torch-GNN,graph,3,test,38.641787458172146,26.349945115552032,0.8797387990076105,,,0.0,207.8
Tg,torch-GNN,graph,3,train,29.894856055984878,21.166757989732954,0.9295119589848119,,,0.0,207.8
Tg,torch-GNN,graph,4,test,39.58481530219593,27.11006703770607,0.8737973810051408,,,0.0,225.6
Tg,torch-GNN,graph,4,train,30.329735996969074,21.93833022365275,0.9274462661139771,,,0.0,225.6
Tg,torch-GREA,graph,0,test,39.61837058253666,27.14227843781119,0.8735833312948397,-0.022913121779200487,0.47911850824472185,0.05825242718446602,46152.7
Tg,torch-GREA,graph,0,train,90.23419112483404,25.295352594655526,0.35780818371527257,-0.03634534011460006,0.47647126835472314,0.06347554630593132,46152.7
Tg,torch-GREA,graph,1,test,41.3398609107092,28.980701135229964,0.8623585801492184,-0.027134626927111917,0.4603945137925721,0.12205270457697642,486.3
Tg,torch-GREA,graph,1,train,35.0691626284308,24.91844973635268,0.902999650343048,-0.07435254227659413,0.44700736115928624,0.13961151578217135,486.3
Tg,torch-GREA,graph,3,test,40.44864051577706,27.716650671419092,0.8682292612399982,-0.013194500780656563,0.4980736631222069,0.004160887656033287,322.6
Tg,torch-GREA,graph,3,train,34.37446179990435,24.164983849786672,0.9068046331974107,-0.050374550330253315,0.498766716768798,0.00346860908775581,322.6
Tg,torch-GREA,graph,4,test,40.25731585973404,27.88355485312982,0.8694728811070045,0.04729025018348508,0.48089073817229167,0.047156726768377254,525.2
Tg,torch-GREA,graph,4,train,32.788533074086956,23.067132112074756,0.9152057346009452,0.0036202912282769437,0.4813851312290438,0.04804023586541797,525.2
Tg,QuantileRandomForest,MACCS,0,test,40.85043682062898,27.54976074895978,0.8655983713199666,0.27781437435512374,0.032578209277238396,0.8578363384188626,156.3
Tg,QuantileRandomForest,MACCS,0,train,24.264566923373778,12.793072754075618,0.9535626320166687,0.016191832354539765,0.22445754807877594,0.9842178286507111,156.3
Tg,QuantileRandomForest,MACCS,1,test,41.55172520816424,28.293964979195565,0.8609441570218337,0.28596165567489096,0.023162274618585305,0.8571428571428571,27.9
Tg,QuantileRandomForest,MACCS,1,train,24.715176428477747,13.030845907041279,0.9518218701626364,0.030887260635343205,0.2177130304081397,0.9826569545612209,27.9
Tg,QuantileRandomForest,MACCS,2,test,39.86566534767778,27.703287101248264,0.8720002400179088,0.2840205303837618,0.026413931268300203,0.8654646324549237,27.8
Tg,QuantileRandomForest,MACCS,2,train,24.191385671278525,12.690434009712105,0.9538423172125864,0.008158188077229919,0.22122017959687051,0.9836975372875477,27.8
Tg,QuantileRandomForest,MACCS,3,test,41.26051927256212,27.316986823855757,0.8628864104660274,0.26858223644895424,0.03203883495145632,0.8613037447988904,27.9
Tg,QuantileRandomForest,MACCS,3,train,24.50082438003094,12.930290062434961,0.9526539336539875,0.028928893257202586,0.2194666050025051,0.9833506763787722,27.9
Tg,QuantileRandomForest,MACCS,4,test,41.57872551452992,28.202465325936203,0.8607633813646626,0.29791557601422364,0.024102327014948376,0.8571428571428571,26.9
Tg,QuantileRandomForest,MACCS,4,train,23.89322151410075,12.752219909816164,0.9549731125658648,0.016530233706800544,0.2191582841947046,0.9831772459243843,26.9
Tg,QuantileRandomForest,TopologicalTorsion,0,test,40.65407566812047,26.71212552011096,0.8668873577589571,0.36527175468038275,0.05617198335644935,0.8828016643550625,1008.7
Tg,QuantileRandomForest,TopologicalTorsion,0,train,18.08449973810174,7.679429413805064,0.9742050015036052,0.08461152367194827,0.33342968358577096,0.9895941727367326,1008.7
Tg,QuantileRandomForest,TopologicalTorsion,1,test,40.876711779105385,27.113314840499307,0.8654254217417897,0.3872714477024292,0.04160887656033285,0.8793342579750347,67.0
