split,target,model,fp,n_seeds,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,spearman_mean,spearman_std,ece_mean,ece_std,cov90_mean,cov90_std
test,N2_msa_log10,torch-GREA,graph,5,0.8146730049409981,0.05638252078919179,0.6339984277894458,0.04634377360358649,0.6674409378281585,0.04531328260553249,0.2506962900873003,0.08832850449857116,0.3153738644304682,0.027708579517360634,0.48930817610062893,0.04389017942734062
test,O2_msa_log10,DropoutMLP,AtomPair,5,0.6763241179360409,0.015496990435380147,0.4303966132617349,0.008950961878176322,0.7356652490619735,0.012259010311791963,0.26297676558546124,0.06621421945835618,0.29710144927536236,0.029715735185108314,0.4161490683229814,0.02671529586038082
test,O2_msa_log10,DropoutMLP,MACCS,5,0.7349859853386586,0.04099918373252672,0.47269404865450576,0.022539785313592665,0.6871760391838688,0.03498617180436788,0.04610478490913274,0.12369718170077476,0.29930986887508626,0.021864199257281777,0.4012422360248447,0.024295164242991243
test,O2_msa_log10,DropoutMLP,Morgan,5,0.7269285068761894,0.012996906197879366,0.4190901068755529,0.01646648613032757,0.6946790635917959,0.01092644851172739,0.03861513687600644,0.05101159286534338,0.37356797791580404,0.01588351439649664,0.28074534161490683,0.03268993134643669
test,O2_msa_log10,DropoutMLP,RDKit,5,0.7047184190934777,0.046721388601484705,0.4191838084570276,0.019373228622003566,0.7121158016688354,0.039630239903046705,0.05044570968484012,0.07080944609128499,0.3219461697722568,0.019415879774513742,0.36024844720496896,0.030743773095067282
test,O2_msa_log10,DropoutMLP,TopologicalTorsion,5,0.765196746353055,0.03541075075690518,0.44392730317996215,0.02837698696508483,0.6611934698771871,0.030706676870145607,0.23468081435472743,0.10710469779764714,0.2766735679779158,0.017504043753584518,0.4509316770186335,0.020412020776590045
test,O2_msa_log10,QuantileRandomForest,AtomPair,5,0.7412230700172577,0.012828798415634403,0.4263929854337653,0.010111405396824862,0.6825582425494715,0.011032704398002682,0.41537643028616583,0.014194914902341737,0.1074534161490683,0.012017004201341027,0.9267080745341614,0.005196646127540872
test,O2_msa_log10,QuantileRandomForest,MACCS,5,0.7824949210780785,0.009868651584430345,0.4936349193088378,0.011279564759030417,0.6462630318486029,0.008961120102977603,0.2837440509198411,0.0328773053707837,0.061766735679779174,0.0072170691303803216,0.8012422360248447,0.018633540372670763
test,O2_msa_log10,QuantileRandomForest,Morgan,5,0.6983878213705431,0.038305197230757836,0.3981674828909103,0.011792088876434978,0.7175774383284048,0.031574711695752905,0.4032721930545617,0.038331205277958066,0.03645272601794341,0.00678339568597841,0.8583850931677018,0.009212668928069174
test,O2_msa_log10,QuantileRandomForest,RDKit,5,0.7581040314182481,0.031711270226509866,0.4351743379136366,0.01013808366390297,0.667549309235295,0.028276701988125985,0.38894710749795064,0.01490126186073944,0.07209109730848859,0.003338979624945987,0.8956521739130435,0.013465517632719772
test,O2_msa_log10,QuantileRandomForest,TopologicalTorsion,5,0.8549553611416411,0.014948177226729663,0.46545431646629265,0.01583039283383185,0.5776668102201806,0.014631201864198893,0.4545772602737729,0.027311525949757314,0.052795031055900596,0.015218291108576911,0.8857142857142858,0.014299210476051422
test,O2_msa_log10,torch-GNN,graph,5,0.6900089471574397,0.0320730151157125,0.3874150801876284,0.015233270054686901,0.724500005664041,0.026167064729478235,,,,,0.0,0.0
test,O2_msa_log10,torch-GREA,graph,5,0.7909518523475514,0.029272681103367594,0.4678975021992344,0.02286690290276056,0.6382255830366763,0.026823597670308102,0.2514987347596044,0.06910824037548126,0.2026915113871636,0.03391978682423568,0.7031055900621118,0.03268993134643669
test,TC,DropoutMLP,AtomPair,5,0.056651708327601136,0.0025833326976509347,0.037937022638922,0.001830816858900156,0.5874025504803687,0.036787013791370185,0.16707408020110176,0.041612583770970026,0.1938115330520394,0.0652126657743265,0.6063291139240506,0.09080128091920209
test,TC,DropoutMLP,MACCS,5,0.06087386586421288,0.0039203026598999624,0.04226141198076779,0.0038435163937845847,0.5228235449977471,0.06272828841522414,0.3080137591913338,0.06620526565740524,0.17011251758087204,0.03160589011019309,0.658860759493671,0.0638974126726475
test,TC,DropoutMLP,Morgan,5,0.056751832112792486,0.007561327766132671,0.03974911056734841,0.00637854510860959,0.5807601303166982,0.11794680047532029,0.3166920896058779,0.11361615574337051,0.20850914205344587,0.06987948795459294,0.5791139240506329,0.12380254836720604
test,TC,DropoutMLP,RDKit,5,0.06358182283288842,0.005619810155613594,0.04390387948270305,0.005368616104229868,0.47790392289295563,0.09007098605246755,0.2628560780219927,0.13183543011654172,0.14922644163150495,0.0745356821867083,0.6481012658227848,0.08728098233075944
test,TC,DropoutMLP,TopologicalTorsion,5,0.05797948551725864,0.00983375820579137,0.041218924250796374,0.00830089316511081,0.5586240219614945,0.1507237260532629,0.19757217585752507,0.18032625492984314,0.25154711673699015,0.07491663203598052,0.5164556962025316,0.14610866075176793
test,TC,QuantileRandomForest,AtomPair,5,0.05022352594138317,0.0008224736155458208,0.0336705146172393,0.0004287005479131905,0.6761930019182972,0.010648836014724506,0.31567575271920667,0.04265323488319655,0.013445850914205346,0.002210105119055481,0.8594936708860759,0.011966880000752547
